    twofish-cbc   128b    39.5 MiB/s    43.8 MiB/s
    twofish-cbc   256b    41.1 MiB/s    44.4 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   256b    41.4 MiB/s    44.3 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.3 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.3 MiB/s
    twofish-cbc   256b    41.4 MiB/s    44.4 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.3 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.4 MiB/s
