        aes-cbc   128b    47.2 MiB/s    58.3 MiB/s
        aes-cbc   256b    38.0 MiB/s    45.2 MiB/s
        aes-cbc   128b    51.1 MiB/s    59.9 MiB/s
        aes-cbc   256b    38.0 MiB/s    45.2 MiB/s
        aes-cbc   128b    51.0 MiB/s    59.8 MiB/s
        aes-cbc   256b    38.0 MiB/s    45.2 MiB/s
        aes-cbc   128b    51.0 MiB/s    59.8 MiB/s
        aes-cbc   256b    38.0 MiB/s    45.2 MiB/s
        aes-cbc   128b    51.0 MiB/s    59.9 MiB/s
        aes-cbc   256b    38.0 MiB/s    45.3 MiB/s
        aes-cbc   128b    51.0 MiB/s    59.9 MiB/s
        aes-cbc   256b    37.9 MiB/s    45.2 MiB/s
        aes-cbc   128b    51.0 MiB/s    59.9 MiB/s
        aes-cbc   256b    37.9 MiB/s    45.2 MiB/s
        aes-cbc   128b    51.0 MiB/s    59.9 MiB/s
        aes-cbc   256b    37.9 MiB/s    45.2 MiB/s
